id	institutionCode	datasetName	eventID	samplingProtocol	eventDate	year	month	day	habitat	fieldNumber	locationID	higherGeographyID	higherGeography	country	locality	verbatimLocality	minimumDepthInMeters	maximumDepthInMeters	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferenceRemarks
Paros_1841-05-29_9.14-10.97	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Paros_1841-05-29_9.14-10.97	dredge	1841-05-29	1841	05	29	mud and sandy mud	Paros_1841-05-29_9.14-10.97	Naousa Bay	http://www.marineregions.org/gazetteer.php?p=details&id=3688	Europe-Greece-Aegean Islands-Cyclades-Paros	Greece	Naousa Bay, Paros	Nousa Bay, Paros, within the Bay	9.14	10.97	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	37.126069	25.238797	971.0	Coordinates represent a point within the bay of Naousa,Paros.Coordinates have been manually georeferenced in Google Earth by datamanager therefore there is an uncertainty.The coordinates are within a radius (bay radius) in meters expressed by the field of CoordinateUncertaintyInmeters.
Smyrna_1842-09-12_12.80	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Smyrna_1842-09-12_12.80	dredge	1842-09-12	1842	09	12	dark mud	Smyrna_1842-09-12_12.80	Gulf of Smyrna	http://www.marineregions.org/gazetteer.php?p=details&id=3853	Mediterranean Sea - Eastern Basin-Turkish Aegean Sea-Izmir Bay	Turkey	Izmir Gulf	Gulf of Smyrna, off mouth of Hermus	12.80	12.80	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	38.580856	26.802844	1660.0	Coordinates represent a point approximately half mile off mouth of Hermus (Gediz river) in Gulf of Izmir (formerly known as Gulf of Smyrna).The coordinates have been manually georeferenced and therefore there is an uncertainty.Coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Amorgo_1841-08-17_18.29-27.43	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Amorgo_1841-08-17_18.29-27.43	dredge	1841-08-17	1841	08	17	sand, gravelly and shelly	Amorgo_1841-08-17_18.29-27.43	Bay of Vathy	http://www.marineregions.org/gazetteer.php?p=details&id=8785	Europe-Greece-Aegean Islands-Cyclades-Amorgos	Greece	Vathy Bay, Amorgos	Bay of Vathy, Amorgo, within the port	18.29	27.43	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	36.830996	25.852493	1384.0	Coordinates represent a point near Vathy,Amorgos.The coordinates have been manually georeferenced by datamanager,therefore there is an uncertainty.Coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Morea_1841-08-29_36.576	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Morea_1841-08-29_36.576	dredge	1841-08-29	1841	08	29	weedy	Morea_1841-08-29_36.576	Head of Cervi Bay	http://www.marineregions.org/gazetteer.php?p=details&id=29135	Mediterranean Sea - Eastern Basin-Nisos Elafonisos Kai Paraktia Thalassia Zoni	Greece	Elafonisos Bay, Peloponissos	Head of Cervi Bay, Morea, one mile from shore	36.576	36.576	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	36.460789	22.962239	1745.0	Coordinates represent a point one mile from shore of Cervi Bay.Coordinates have been manually georeferenced by datamanager,therefore there is an uncertainty.The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Smyrna_1842-09-14_47.5488	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Smyrna_1842-09-14_47.5488	dredge	1842-09-14	1842	09	14	fine brown mud	Smyrna_1842-09-14_47.5488	Gulf of Smyrna	http://www.marineregions.org/gazetteer.php?p=details&id=3853	Mediterranean Sea - Eastern Basin-Turkish Aegean Sea-Izmir Bay	Turkey	Izmir Gulf	Gulf of Smyrna, off mouth of Hermus	47.5488	47.5488	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	38.535858	26.75491	37079.0	Coordinates of Gulf of Izmir (formerly known as Gulf of Smyrna) as given in http://bl.ocks.org/rdmpage/raw/9951904/.The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Smyrna_1842-09-16_51.2064	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Smyrna_1842-09-16_51.2064	dredge	1842-09-16	1842	09	16	yellow sand	Smyrna_1842-09-16_51.2064	Gulf of Smyrna	http://www.getty.edu/vow/TGNFullDisplay?find=Uzunada&place=&nation=&prev_page=1&english=Y&subjectid=1009588	Asia-Turkey-Izmir-Uzun Ada	Turkey	Izmir Gulf	Gulf of Smyrna, off Long Island, Gulf of Smyrna, one mile and a half from shore	51.2064	51.2064	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	38.504472	26.714643	6821.0	Coordinates of centre of Long island (Uzun Ada) of Gulf of Smyrna as given in bl.ocks(http://bl.ocks.org/rdmpage/raw/9951904/).The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Lycia_1841-12-01_54.864	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Lycia_1841-12-01_54.864	dredge	1841-12-01	1841	12	01	ash-coloured mud	Lycia_1841-12-01_54.864	Port of Sumboli	http://www.getty.edu/vow/TGNFullDisplay?find=lycia&place=&nation=&prev_page=1&english=Y&subjectid=7001294	Asia-Turkey-Lycia	Turkey	Lycia	Port of Sumboli under Cragus, Lycia, within the basin	54.864	54.864	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	36.361667	29.105278	46787.0	Coordinates are manually georeferenced on Google earth by datamanager,therefore there is an uncertainty.The coordinates represent a point near the old city Cragus,Lycia (information on the Cragus location from http://en.wikipedia.org/wiki/Mount_Cragus).The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Paros_08-05_73.152	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Paros_08-05_73.152	dredge			08	05	weedy	Paros_08-05_73.152	Paros	http://www.marineregions.org/gazetteer.php?p=details&id=3688	Europe-Greece-Aegean Islands-Cyclades-Paros	Greece	Paros	Off northern extremity of Paros, three miles and a half from shore	73.152	73.152	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	37.202103	25.274806	5110.0	Coordinates represent a point three miles and a half from the northern extremity of Paros island.The coordinates have been manually georeferenced by datamanager,so there is an uncertainty.The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Asia Minor_1841-10-11_100.584-128.016	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Asia Minor_1841-10-11_100.584-128.016	dredge	1841-10-11	1841	10	11	millepore	Asia Minor_1841-10-11_100.584-128.016	Cape Crio	http://www.getty.edu/vow/TGNFullDisplay?find=asia+minor&place=&nation=&prev_page=1&english=Y&subjectid=7002294	Asia-Turkey-Asia Minor	Turkey	Cape Crio	Off Cape Crio, Asia Minor, three-fourths of a mile from shore	100.584	128.016	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	36.685453	27.361567	1208.0	Coordinates are manually georeferenced on Google earth by datamanager,therefore there is an uncertainty.The coordinates represent a point near Cape Crio, today known as Cape Deveboynu (information on the Cape Crio location from http://marinesol.org/gokova-cnidus/;https://en.wikipedia.org/wiki/Dat%C3%A7a_Peninsula).The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Naxia_1842-07_146.304-173.736	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Naxia_1842-07_146.304-173.736	dredge	1842-07	1842	07		nullipore	Naxia_1842-07_146.304-173.736	Naxia	http://www.marineregions.org/gazetteer.php?p=details&id=3689	Europe-Greece-Aegean Islands-Cyclades-Naxos	Greece	Naxos	Off east coast of Naxia, three miles from N.E. Cape	146.304	173.736	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	37.181681	25.614919	7415.0	Coordinates represent a point approximately three miles from N.E.Cape off east coast of Naxos island.Coordinates have been manually georeferenced by data manager,therefore there is some uncertainty.The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Off Serpho-Poulo_1841-07_173.736	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Off Serpho-Poulo_1841-07_173.736	dredge	1841-07	1841	07		millepore	Off Serpho-Poulo_1841-07_173.736	Serpho-Poulo	http://www.marineregions.org/gazetteer.php?p=details&id=8796	Europe-Greece-Aegean Islands-Cyclades-Serifos	Greece	Serifos bay	Οff Serpho-Poulo	173.736	173.736	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	37.153423	24.480237	10901.0	Coordinates of Serifos island as given in bl.ocks.The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
Off Ananas Rocks_1841-09-16_192.024	HCMR	Edward Forbes. Report on the Mollusca and Radiata of the Aegean Sea, and on their distribution, considered as bearing on Geology. 13th Meeting of the British Association for the Advancement of Science, London, 1844.	Off Ananas Rocks_1841-09-16_192.024	dredge	1841-09-16	1841	09	16	nullipore	Off Ananas Rocks_1841-09-16_192.024	Ananas Rocks	http://www.marineregions.org/gazetteer.php?p=details&id=27959	Mediterranean Sea - Eastern Basin- Aegean Sea-Vrachonisia Notiou Aigaiou: Velopoula, Falkonera, Ananes, Christiana, Pacheia, Fteno, Makra, Astakidonisia, Syrna - Gyro Nisia Kai Thalassia Zoni	Greece	Off Ananes	Off Ananas Rocks, From rocks three miles, from Milo ten miles	192.024	192.024	In "verbatimLocality" is given the original location name and description as given in the paper.In "locality" is given the location with the currently known name.	36.553333	24.168056	15868.0	Coordinates are manually georeferenced on Google earth, therefore there is an uncertainty.The coordinates represent a point approximately 3 miles from Ananes rocks and 10 miles from Milos island. The coordinates are within a radius in meters expressed by the field of CoordinateUncertaintyInmeters.
