id	basisOfRecord	occurrenceID	occurrenceRemarks	occurrenceStatus	eventID	fieldNumber	scientificNameID	scientificName	scientificNameAuthorship	taxonRemarks
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_1		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:542951	Pinna squamosa	Gmelin, 1791	Name as in original file: Pinna squamosa
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_2	in sandy mud	present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:140462	Modiolus adriaticus	Lamarck, 1819	Name as in original file: Modiola tulipa
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_3		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:394239	Pecten polymorphus	Bronn in Philippi, 1836	Name as in original file: Pecten polymorphus
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_4		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:236723	Flexopecten hyalinus	(Poli, 1795)	Name as in original file: Pecten hyalinus
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_5	in dark mud	present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:140590	Nucula nucleus	(Linnaeus, 1758)	Name as in original file: Nucula margaritacea
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_6		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:845555	Cytherea chione	Lamarck, 1818	Name as in original file: Cytherea chione
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_7		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:539399	Cytherea venetiana	Lamarck, 1818	Name as in original file: Cytherea venetiana
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_8		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:748356	Cytherea apicalis	Philippi, 1836	Name as in original file: Cytherea apicalis
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_9		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:141912	Dosinia lupinus	(Linnaeus, 1758)	Name as in original file: Artemis lincta
Paros_1841-05-29_9.14-10.97	HumanObservation	MED-AegeanMolluscaAndRadiata_10		present	Paros_1841-05-29_9.14-10.97	Paros_1841-05-29_9.14-10.97	urn:lsid:marinespecies.org:taxname:507877	Polititapes virgineus	(Linnaeus, 1767)	Name as in original file: Pullastra virginea
