itemID	titleID	item_year	title	subject	taxa_identified	language	pages	BHL_upload
255208	151915	1885	Marvels of animal life	Marine animals	274	ENG	356	2018
162750	69298	1909	Echinoderma of the Indian Museum ... . Collected by the Royal Indian Marine Survey ship Investigator. ...		280	ENG	416	2014
247742	147192	1950	Publications of the Institute of Marine Science.	Marine biology	444	ENG	188	2018
241397	142574	1931	Waldo L. Schmitt Papers : field notes, Tortugas, June 17-August 7, 1931.	Marine biology	0	ENG	58	2017
28212	6263	1836	Narrative of the Arctic land expedition to the mouth of the Great Fish River, and along the shores of the Arctic Ocean in the years 1833, 1834, and 1835		311	ENG	718	2008
16836	1757	1858	The aquarian naturalist. A manual for the sea-side.	Marine animals	326	ENG	598	2008
155662	82098	1901	Contributions to Canadian biology : being studies from the Marine Biological Station of Canada.	Marine biology	417	ENG	98	2014
99727	45888	1951	Commercial fisheries review.		16	ENG	80	2010
17157	6206	1939	The Biological bulletin	Marine biology	481	ENG	510	2008
76285	10543	1879	Manual of conchology, structural and systematic : with illustrations of the species	Marine invertebrates	1490	ENG	442	2009
99286	45888	1954	Commercial fisheries review.		48	ENG	82	2010
99369	45888	1957	Commercial fisheries review.		91	ENG	94	2010
54884	16244	1874	The marine mammals of the north-western coast of North America, described and illustrated; together with an account of the American whale-fishery. 	Marine mammals	148	ENG	416	2009
220940	127476	1882	Hydrographic sheet, no. 1543, 1882-1883	Marine invertebrates	0	ENG	2	2017
75489	31544	1907	Additions to the fish-fauna of New South Wales (No. 1.).	Marine animals	41	ENG	52	2009
54357	15915	1877	Annual report of the Commissioners of Inland Fisheries made to the General Assembly		2	ENG	16	2009
177169	98482	1915	H 6259-6309, Sept 5 to 7, 1915	Marine biology	2		103	2015
259643	154809	1756	Essai sur l'histoire naturelle des corallines, et d'autres productions marines de m©®me genre, qu'on trouve communement sur les c©þtes de la Grande-Bretagne et d'Irlande; auquel on a joint une description d'un grande polype de mer, pris aupr©·s du Pole Arctique, par des P©®cheurs de Baleine, pendant l'©♭t©♭ de 1753 ... traduit de l'anglois	Marine animals	56	FRE	230	2018
176881	98333	1889	No. 12, Sept'r 1st 1889, Sept'r 11th 1889, dr 3079 to 3093, hyd 1964 to 2049	Marine biology	1		206	2015
73912	163289	1880	Report of the Commissioners of Fisheries of the State of California.		397	ENG	84	2009
176852	98312	1913	Annual report of the Fishery Board for Scotland.		33	ENG	384	2015
80782	35530	1910	Seal fisheries of Alaska ... Report. 		0	ENG	12	2009
177179	98492	1880	Book no 3, 1880	Marine invertebrates	0		92	2015
73707	30121	1903	The animal ecology of the Cold Spring sand spit, with remarks on the theory of adaptation	Marine animals	125	ENG	44	2009
260812	155432	1882	Life and her children : glimpses of animal life from the amoeba to the insects	Marine animals	198	ENG	340	2018
255341	151986	1875	On the principles and management of the marine aquarium. A paper read before the Birmingham Natural History and Microscopical Society, at the Midland Institute, on Tuesday, 27th January, 1874, with additions	Marine aquariums	62	ENG	94	2018
77955	33378	1921	A history of the whale fisheries : from the Basque fisheries of the tenth century to the hunting of the finner whale at the present date		61	ENG	370	2009
