1753	1	38
1763	1	38
1766	1	1683
1771	1	38
1778	1	1948
1782	1	1430
1784	1	38
1786	1	38
1787	1	38
1788	1	38
1790	2	76
1791	1	39
1792	2	283
1796	1	44
1801	1	1355
1802	1	77
1808	1	56
1809	1	1699
1825	1	147
1832	1	2036
1834	2	1999
1835	1	1957
1837	1	9026
1839	1	98
1841	3	2871
1843	1	769
1846	1	1905
1847	1	1961
1852	1	100
1861	1	16
1863	1	20484
1864	1	77
1869	1	119
1870	2	3636
1876	1	95
1880	1	264
1887	2	3006
1895	1	6190
1897	1	1963
1900	2	878
1901	1	137
1902	2	737
1903	1	122135
1904	3	317164
1905	4	13967
1906	1	1645
1907	3	48614
1909	1	31164
1910	2	705
1911	3	9847
1913	1	34059
1914	2	58
1915	1	1449
1916	1	3606
1917	4	99656
1919	2	12200
1920	2	12653
1921	1	9231
1922	1	36099
1923	1	1385
1925	1	1117
1927	3	36480
1929	3	32783
1930	2	1027
1931	2	8063
1932	2	315
1933	21	59325
1934	2	1987
1935	3	11241
1936	2	658
1937	7	7980
1938	2	61672
1939	2	5514
1940	2	13644
1943	3	152
1944	1	141
1945	1	22
1946	2	16761
1948	6	13770
1949	5	34604
1950	6	3566
1951	6	13115
1952	8	46331
1953	5	23128
1954	5	163053
1955	3	15226
1956	3	10381
1957	13	125448
1958	5	5234
1959	5	12277
1960	7	49959
